#timestamp [s],filename
0,00000001.png
0.0333333,00000002.png
0.0666666,00000003.png
0.1,00000004.png
0.1333333,00000005.png
0.1666666,00000006.png
0.2,00000007.png
0.2333333,00000008.png
0.2666666,00000009.png
0.3,00000010.png
0.3333333,00000011.png
0.3666666,00000012.png
0.4,00000013.png
0.4333333,00000014.png
0.4666666,00000015.png
0.5,00000016.png
0.5333333,00000017.png
0.5666666,00000018.png
0.6,00000019.png
0.6333333,00000020.png
0.6666666,00000021.png
0.7,00000022.png
0.7333333,00000023.png
0.7666666,00000024.png
0.8,00000025.png
0.8333333,00000026.png
0.8666666,00000027.png
0.9,00000028.png
0.9333333,00000029.png
0.9666666,00000030.png
1,00000031.png
1.0333333,00000032.png
1.0666666,00000033.png
1.1,00000034.png
1.1333333,00000035.png
1.1666666,00000036.png
1.2,00000037.png
1.2333333,00000038.png
1.2666666,00000039.png
1.3,00000040.png
1.3333333,00000041.png
1.3666666,00000042.png
1.4,00000043.png
1.4333333,00000044.png
1.4666666,00000045.png
1.5,00000046.png
1.5333333,00000047.png
1.5666666,00000048.png
1.6,00000049.png
1.6333333,00000050.png
1.6666666,00000051.png
1.7,00000052.png
1.7333333,00000053.png
1.7666666,00000054.png
1.8,00000055.png
1.8333333,00000056.png
1.8666666,00000057.png
1.9,00000058.png
1.9333333,00000059.png
1.9666666,00000060.png
2,00000061.png
2.0333333,00000062.png
2.0666666,00000063.png
2.1,00000064.png
2.1333333,00000065.png
2.1666666,00000066.png
2.2,00000067.png
2.2333333,00000068.png
2.2666666,00000069.png
2.3,00000070.png
2.3333333,00000071.png
2.3666666,00000072.png
2.4,00000073.png
2.4333333,00000074.png
2.4666666,00000075.png
2.5,00000076.png
2.5333333,00000077.png
2.5666666,00000078.png
2.6,00000079.png
2.6333333,00000080.png
2.6666666,00000081.png
2.7,00000082.png
2.7333333,00000083.png
2.7666666,00000084.png
2.8,00000085.png
2.8333333,00000086.png
2.8666666,00000087.png
2.9,00000088.png
2.9333333,00000089.png
2.9666666,00000090.png
3,00000091.png
3.0333333,00000092.png
3.0666666,00000093.png
3.1,00000094.png
3.1333333,00000095.png
3.1666666,00000096.png
3.2,00000097.png
3.2333333,00000098.png
3.2666666,00000099.png
3.3,00000100.png
3.3333333,00000101.png
3.3666666,00000102.png
3.4,00000103.png
3.4333333,00000104.png
3.4666666,00000105.png
3.5,00000106.png
3.5333333,00000107.png
3.5666666,00000108.png
3.6,00000109.png
3.6333333,00000110.png
3.6666666,00000111.png
3.7,00000112.png
3.7333333,00000113.png
3.7666666,00000114.png
3.8,00000115.png
3.8333333,00000116.png
3.8666666,00000117.png
3.9,00000118.png
3.9333333,00000119.png
3.9666666,00000120.png
4,00000121.png
4.0333333,00000122.png
4.0666666,00000123.png
4.1,00000124.png
4.1333333,00000125.png
4.1666666,00000126.png
4.2,00000127.png
